training_acc,training_loss,diff,group_index,Cost
0.7578967642526965,1.8836421599304547,0.159,"[4, 5]",13.632175874978484
0.6690425531914893,1.884371194002476,0.163,"[0, 6]",20.5587860158089
0.7716687230104874,1.8998512268287029,0.1582,"[1, 2]",11.853791819333058
0.7203199617956065,1.9150846573633586,0.2867,"[1, 2, 3, 7, 8, 9]",36.95361667036025
0.644419503027772,1.9458320962409432,0.2132,"[0, 6, 3, 7, 8, 9]",45.26313906441843
0.647623167752443,1.9464547199406435,0.2409,"[4, 5, 3, 7, 8, 9]",41.975392985973244
0.7102581622649357,1.9072076136626532,0.2836,"[1, 2, 3, 7, 8]",30.069961781890783
0.6580600139567341,1.9348610327575213,0.2086,"[0, 6, 3, 7, 8]",39.6048754301571
0.6441741480837919,1.929571209180331,0.2511,"[4, 5, 3, 7, 8]",31.196836632549555
0.6987631333953983,1.9123665067423117,0.2822,"[1, 2, 3, 7, 9]",31.655926904411057
0.6396097216915978,1.9429779518753116,0.2164,"[0, 6, 3, 7, 9]",38.748236910039665
0.6214618262831682,1.9394004853327236,0.24,"[4, 5, 3, 7, 9]",36.71813620369766
0.6376418140771012,1.9402903654812929,0.2621,"[1, 2, 3, 8, 9]",34.23882161458024
0.6339538583929992,1.9600768791462755,0.188,"[0, 6, 3, 8, 9]",42.38994254856163
0.6241784689438119,1.950943813313234,0.2128,"[4, 5, 3, 8, 9]",36.525007064389484
0.6565715875027041,1.9193556854598819,0.3129,"[1, 2, 7, 8, 9]",28.9494906408684
0.6242575804939043,1.9572347314835323,0.2459,"[0, 6, 7, 8, 9]",37.04988241570276
0.6567254408060453,1.924270132418744,0.2646,"[4, 5, 7, 8, 9]",31.39265205459495
0.7270561002178649,1.9135889100815802,0.2668,"[1, 2, 3, 7]",22.29766030831438
0.7059051456912585,1.92326726449881,0.2038,"[0, 6, 3, 7]",31.48103843417862
0.6556061510898775,1.9298314575198232,0.2329,"[4, 5, 3, 7]",26.807041034104206
0.636699783371928,1.9435083181291535,0.2537,"[1, 2, 3, 8]",25.00607961656881
0.6656468154787555,1.9358291046676743,0.1725,"[0, 6, 3, 8]",35.03950398758559
0.6470855725506408,1.9394132769122603,0.2206,"[4, 5, 3, 8]",29.752465929824716
0.6409730363423212,1.9398908985224772,0.2623,"[1, 2, 3, 9]",26.436643452984605
0.6393883566691231,1.9485887027612572,0.1826,"[0, 6, 3, 9]",37.96437716818402
0.6137462665339212,1.9377757443326786,0.2284,"[4, 5, 3, 9]",32.302574856765894
0.6539353769676884,1.9148040417165133,0.2978,"[1, 2, 7, 8]",21.80529713452468
0.6600719424460432,1.9437847544589257,0.2311,"[0, 6, 7, 8]",29.243071376465835
0.6704861755427723,1.9226853572320222,0.2701,"[4, 5, 7, 8]",25.32427290179752
0.6665241860796467,1.9169776238394385,0.3087,"[1, 2, 7, 9]",19.400196701898604
0.6462498979841671,1.9466330728209438,0.2428,"[0, 6, 7, 9]",29.79382793272393
0.640133385641428,1.914202464244187,0.2786,"[4, 5, 7, 9]",26.856647565686572
0.6397220477386935,1.9307758782629916,0.2685,"[1, 2, 8, 9]",25.50912682158363
0.6013513513513513,1.9564156477102144,0.1744,"[0, 6, 8, 9]",33.44338478189587
0.6514767563788885,1.9216501602069018,0.2256,"[4, 5, 8, 9]",27.673589432674735
0.6705945128729601,1.9382941802805669,0.229,"[1, 2, 3]",18.91313294433528
0.6335288832514138,1.9242754637782364,0.1825,"[0, 6, 3]",31.11036076464682
0.6516955538809345,1.9347099787923625,0.202,"[4, 5, 3]",22.80080423144417
0.7323092420045328,1.8820320058667488,0.273,"[1, 2, 7]",15.294346130351286
0.6914717259163751,1.8853304726193167,0.2343,"[0, 6, 7]",22.4455656229523
0.6718198135603034,1.9013573514118254,0.2284,"[4, 5, 7]",15.934186425103785
0.6606966904306497,1.9218407775439132,0.2396,"[1, 2, 8]",17.6474575260949
0.6000730727073438,1.9169351142037294,0.1719,"[0, 6, 8]",28.820643503335383
0.7199536437384961,1.9094968387479065,0.2046,"[4, 5, 8]",21.525588071769896
0.6755557653277954,1.903897366731024,0.2425,"[1, 2, 9]",19.02562747069034
0.616663828821159,1.9222166262593685,0.1921,"[0, 6, 9]",27.813936038312757
0.6679567811643283,1.9149752764626742,0.2145,"[4, 5, 9]",20.10780239579836
