training_acc,training_loss,diff,group_index,Cost
0.7578967642526965,1.8836421599304547,0.159,"[4, 5]",13.70046317309712
0.7092142857142857,1.895014906483037,0.1505,"[3, 6]",17.358038209497984
0.7716687230104874,1.8998512268287029,0.1582,"[1, 2]",11.779448361673264
0.7163090128755365,1.904973969247208,0.2882,"[1, 2, 0, 7, 8, 9]",40.230925706711034
0.6329348506995197,1.9509191229102456,0.2129,"[3, 6, 0, 7, 8, 9]",45.3340059089739
0.6815771270463454,1.9316525334740993,0.2466,"[4, 5, 0, 7, 8, 9]",45.60735050497471
0.7199683424520835,1.8922385798855594,0.2839,"[1, 2, 0, 7, 8]",33.4020141806389
0.5989969158043409,1.960188350924066,0.2429,"[3, 6, 3, 7, 8]",36.9410529740419
0.6892774861200287,1.9108104010464295,0.2501,"[4, 5, 0, 7, 8]",34.39774387200892
0.7007728443703591,1.9035021763965025,0.2842,"[1, 2, 0, 7, 9]",34.477800090571165
0.6388456225938226,1.9446343541737394,0.2208,"[3, 6, 0, 7, 9]",38.74702961025081
0.6707112557956003,1.923885976240019,0.2474,"[4, 5, 0, 7, 9]",39.83994418545561
0.6273813049057348,1.9321011081090336,0.2651,"[1, 2, 0, 8, 9]",37.41158800119986
0.6414956245027844,1.9548898407686488,0.1907,"[3, 6, 0, 8, 9]",42.391176931279276
0.659786400086303,1.938671832288875,0.2185,"[4, 5, 0, 8, 9]",39.77465089303953
0.6565715875027041,1.9193556854598819,0.3129,"[1, 2, 7, 8, 9]",29.17379829509829
0.6104339492677667,1.9534768258667403,0.2426,"[3, 6, 7, 8, 9]",34.03882573353693
0.6567254408060453,1.924270132418744,0.2646,"[4, 5, 7, 8, 9]",31.535568983365234
0.7581934129803035,1.8870459148094352,0.2734,"[1, 2, 0, 7]",25.608232378233765
0.6884686918784872,1.922031931634542,0.1998,"[3, 6, 0, 7]",31.61319247894197
0.7153478731074261,1.900680916723624,0.2435,"[4, 5, 0, 7]",30.0488880271157
0.6337151619013259,1.9249058015247391,0.2599,"[1, 2, 0, 8]",28.287196342799554
0.6583642161509954,1.9340865673211733,0.169,"[3, 6, 0, 8]",35.442314337685396
0.690096988259316,1.9147106125867142,0.228,"[4, 5, 0, 8]",33.097205566821486
0.6624789336601807,1.9239811476839983,0.2617,"[1, 2, 0, 9]",29.733288271254086
0.6302873986735446,1.9524553698832794,0.1724,"[3, 6, 0, 9]",38.10856116384939
0.662514878422037,1.9194805645107553,0.2309,"[4, 5, 0, 9]",35.584544635467864
0.6539353769676884,1.9148040417165133,0.2978,"[1, 2, 7, 8]",21.934577577593572
0.6297473383124106,1.9486238773413158,0.2267,"[3, 6, 7, 8]",25.996323360495786
0.6704861755427723,1.9226853572320222,0.2701,"[4, 5, 7, 8]",25.42526605086738
0.6665241860796467,1.9169776238394385,0.3087,"[1, 2, 7, 9]",19.41364013692865
0.5945165945165946,1.9573868275065525,0.2385,"[3, 6, 7, 9]",26.798428061767936
0.640133385641428,1.914202464244187,0.2786,"[4, 5, 7, 9]",27.145205516482555
0.6397220477386935,1.9307758782629916,0.2685,"[1, 2, 8, 9]",25.72620249380122
0.5797992755810444,1.9686284528563398,0.1662,"[3, 6, 8, 9]",30.363032533884645
0.6514767563788885,1.9216501602069018,0.2256,"[4, 5, 8, 9]",27.756325827572585
0.694505003074515,1.9146650818543234,0.2294,"[1, 2, 0]",22.184120458032414
0.6592146292479256,1.9214270793952497,0.1713,"[3, 6, 0]",31.25640714910647
0.7178046390068605,1.908794559524247,0.2121,"[4, 5, 0]",26.083083273460932
0.7323092420045328,1.8820320058667488,0.273,"[1, 2, 7]",15.452507886638177
0.6731938526356107,1.9245558609117548,0.2154,"[3, 6, 7]",19.161230276352576
0.6718198135603034,1.9013573514118254,0.2284,"[4, 5, 7]",15.940977954240338
0.6606966904306497,1.9218407775439132,0.2396,"[1, 2, 8]",17.769920889342615
0.6305715066994805,1.9331731235651752,0.1537,"[3, 6, 8]",25.75752329331325
0.7199536437384961,1.9094968387479065,0.2046,"[4, 5, 8]",21.43315833092062
0.6755557653277954,1.903897366731024,0.2425,"[1, 2, 9]",19.18992222669045
0.6062379044961519,1.9393225934890792,0.1767,"[3, 6, 9]",24.630056611936688
0.6679567811643283,1.9149752764626742,0.2145,"[4, 5, 9]",20.116965951054762
